x y p
  -5.2438370e-01   2.5376680e-03  -1.0644090e+00
   5.2536550e-01   2.2270030e-03  -1.0869730e+00
   1.7466760e-03   5.2449840e-01  -1.0654180e+00
  -5.3335220e-04  -5.2381880e-01  -1.0640660e+00
  -1.0000000e+00  -1.0000000e+00  -4.4377190e-01
  -7.3692610e-01  -1.0000000e+00  -4.3483680e-01
  -5.5219700e-01  -1.0000000e+00  -4.2134690e-01
  -4.2639710e-01  -1.0000000e+00  -4.1381950e-01
  -3.1001820e-01  -1.0000000e+00  -5.4824480e-01
  -1.9183600e-01  -1.0000000e+00  -4.4730800e-01
  -6.8162450e-02  -1.0000000e+00  -7.0515440e-01
   4.9957680e-02  -1.0000000e+00  -6.9772400e-01
   1.7746990e-01  -1.0000000e+00  -5.9685820e-01
   3.0217560e-01  -1.0000000e+00  -5.0396680e-01
   4.3173640e-01  -1.0000000e+00  -4.3607500e-01
   5.6134700e-01  -1.0000000e+00  -4.1442570e-01
   7.4489320e-01  -1.0000000e+00  -4.2353760e-01
  -1.0000000e+00  -7.4570460e-01  -4.3279480e-01
  -8.2084120e-01  -8.2952550e-01  -4.4123100e-01
  -6.1760950e-01  -8.6124990e-01  -4.4480600e-01
  -4.5442970e-01  -8.7618910e-01  -4.6551400e-01
  -3.0006930e-01  -8.7699590e-01  -5.7058080e-01
  -1.4948930e-01  -8.7129800e-01  -6.6739090e-01
  -1.7958870e-02  -8.2837760e-01  -6.8177150e-01
   8.8067820e-02  -8.6636710e-01  -6.8142820e-01
   2.1528240e-01  -8.5941220e-01  -6.8581620e-01
   3.4678370e-01  -8.6762100e-01  -5.3699790e-01
   4.8700620e-01  -8.6324840e-01  -4.5772880e-01
   6.4346080e-01  -8.4281590e-01  -4.3938340e-01
   1.0000000e+00  -1.0000000e+00  -4.3315740e-01
  -7.3746490e-01  -6.9794870e-01  -4.5221990e-01
  -6.0355290e-01  -7.2737260e-01  -4.5358860e-01
  -4.7977940e-01  -7.5411010e-01  -4.6621730e-01
  -3.4932790e-01  -7.5613720e-01  -5.2568500e-01
  -2.1802920e-01  -7.4645070e-01  -6.0288770e-01
  -9.2379330e-02  -7.2853460e-01  -8.7303930e-01
   1.0553300e-01  -7.3174750e-01  -8.8274800e-01
   2.4768730e-01  -7.2974770e-01  -5.1568720e-01
   3.8993410e-01  -7.4334400e-01  -5.1825340e-01
   4.5268230e-01  -6.2307380e-01  -4.2960670e-01
   5.4179770e-01  -7.2751480e-01  -4.5573600e-01
   8.3072270e-01  -8.0806720e-01  -4.3179790e-01
  -1.0000000e+00  -5.6860980e-01  -4.2598290e-01
  -8.5759880e-01  -6.1425850e-01  -4.5245880e-01
  -6.7634880e-01  -5.6683310e-01  -4.6073380e-01
  -5.5215950e-01  -6.0686490e-01  -4.4394920e-01
  -4.1902140e-01  -6.2964730e-01  -4.4729910e-01
  -2.8657450e-01  -6.2036080e-01  -4.4291090e-01
  -1.5774160e-01  -6.0367820e-01  -9.0599710e-01
  -3.8949050e-02  -5.1546240e-01  -9.4954600e-01
   3.8459240e-02  -5.1572790e-01  -9.3682850e-01
   1.7042740e-01  -5.9802930e-01  -8.4578120e-01
   3.1658630e-01  -6.0482980e-01  -4.6084740e-01
   4.3438350e-01  -4.9500670e-01  -4.6852850e-01
   5.8001590e-01  -5.7610730e-01  -4.3325650e-01
   6.9871990e-01  -6.7756600e-01  -4.4208070e-01
   8.5585080e-01  -6.0913830e-01  -4.4010050e-01
   1.0000000e+00  -7.1969340e-01  -4.2222930e-01
  -1.0000000e+00  -4.5134400e-01  -4.3599560e-01
  -8.8003520e-01  -4.5052490e-01  -4.7038490e-01
  -7.7084310e-01  -4.9529120e-01  -4.7250110e-01
  -6.2436750e-01  -4.4333110e-01  -5.0737360e-01
  -5.0408740e-01  -4.9811030e-01  -4.0549710e-01
  -3.7323790e-01  -4.9563170e-01  -3.3509890e-01
  -2.4235400e-01  -4.7779760e-01  -1.1779270e-01
  -1.1903760e-01  -4.5561270e-01  -3.0728290e-01
   1.2150420e-01  -4.5447130e-01  -2.9026510e-01
