t shear free
 0.3875 0.9421659 0.9406666
 0.39 0.9428958 0.9413949
 0.3925 0.9436238 0.9421218
 0.395 0.9443498 0.9428471
 0.3975 0.9450739 0.9435708
 0.4 0.9457959 0.944293
 0.4025 0.9465159 0.9450136
 0.405 0.9472337 0.9457326
 0.4075 0.9479494000000001 0.9464498
 0.41 0.948663 0.9471654
 0.4125 0.9493743 0.9478792
 0.415 0.9500833 0.9485912
 0.4175 0.95079 0.9493013
 0.42 0.9514944 0.9500096
 0.4225 0.9521964000000001 0.9507158999999999
 0.425 0.9533007 0.9514203
 0.4275 0.9539976999999999 0.9521227
 0.43 0.9546934 0.952823
 0.4325 0.9553873000000001 0.9535213
 0.435 0.9560792 0.9542174
 0.4375 0.9567688 0.9549113
 0.44 0.957456 0.9556029
 0.4425 0.9581407 0.9562923
 0.445 0.9588227 0.9569793
 0.4475 0.959502 0.9576639
 0.45 0.9601785 0.9583461
 0.4525 0.9608521 0.9590258
 0.455 0.9615228 0.9597029
 0.4575 0.9621904999999999 0.9603774
 0.46 0.9628552 0.9610492
 0.4625 0.9635169 0.9620521
 0.465 0.9641753 0.9627176
 0.4675 0.9648305 0.9633814000000001
 0.47 0.9654825 0.9640431
 0.4725 0.9661311 0.9647025
 0.475 0.9667764 0.9653593
 0.4775 0.9674180999999999 0.9660132
 0.48 0.9680564 0.9666642
 0.4825 0.9686911 0.9673122
 0.485 0.9693221 0.9679569
 0.4875 0.9699494 0.9685983
 0.49 0.9705729 0.9692364
 0.4925 0.9711925 0.969871
 0.495 0.9718082 0.970502
 0.4975 0.9724199 0.9711294
 0.5 0.9730276 0.971753
 0.5024999999999999 0.973631 0.9723728
 0.5049999999999999 0.9742303 0.9729886
 0.5075 0.9748251999999999 0.9736005
 0.5099999999999999 0.9754157 0.9742083
 0.5125 0.9760018 0.9748118
 0.5149999999999999 0.9765832 0.9754111
 0.5175 0.9771601 0.976006
 0.5199999999999999 0.9777322000000001 0.9765964
 0.5225 0.9782994 0.9771822
 0.5249999999999999 0.9788616999999999 0.9777633
 0.5275 0.979419 0.9783396
 0.5299999999999999 0.9799712 0.9789111
 0.5325 0.9805182 0.9794775
 0.5349999999999999 0.9810598 0.9800388
 0.5375 0.981596 0.9805948
 0.5399999999999999 0.9821267 0.9811455
 0.5425 0.9826518 0.9816908
 0.5449999999999999 0.9831711 0.9822303999999999
 0.5475 0.9839182 0.9827644
 0.5499999999999999 0.9844227 0.9832925
 0.5525 0.9849229 0.9838147
 0.5549999999999999 0.985418 0.9843308
 0.5575 0.9859074 0.9848406
 0.5599999999999999 0.9863908 0.9853440999999999
 0.5625 0.9868681 0.9858412
 0.5649999999999999 0.9873391 0.9863316
 0.5674999999999999 0.9878034 0.9868153
 0.57 0.9882611 0.9872921
 0.5724999999999999 0.9887119 0.9877618
 0.575 0.9891558 0.9882244
 0.5774999999999999 0.9895924 0.9886797000000001
 0.58 0.9900218 0.9891275
 0.5824999999999999 0.9904437 0.9895677000000001
 0.585 0.9908581 0.9900002
 0.5874999999999999 0.9912647 0.9904247
 0.59 0.9916634 0.9908413
 0.5924999999999999 0.9920541 0.9912497
 0.595 0.9924366 0.9916497
 0.5974999999999999 0.9928108 0.9920413
 0.6 0.9931765 0.9924243
 0.6024999999999999 0.9935335 0.9929291
 0.605 0.9938817 0.9932951
 0.6074999999999999 0.994221 0.9936544
 0.61 0.9946843 0.9940059999999999
 0.6124999999999999 0.9950025 0.9943492
 0.615 0.9953143 0.9946835000000001
 0.6174999999999999 0.9956178 0.9950087
 0.62 0.9959123 0.9953246
 0.6224999999999999 0.9961973 0.995631
 0.625 0.9964727 0.9959278
 0.6274999999999999 0.9967382 0.9962148
 0.6299999999999999 0.9969936 0.9964918
