mc_steps  contiguity  d_eq_mean  d_eq_std
0.000000000000000000e+00 5.465968445574201917e-01 9.721036598683928664e-01 4.920215302978262484e-01
2.500000000000000000e-01 5.410909781292742027e-01 9.758813875070141419e-01 4.883954917284088482e-01
5.000000000000000000e-01 5.361295238632796112e-01 9.778513187149520114e-01 4.865820874924412509e-01
1.000000000000000000e+00 5.292441113850672174e-01 9.801975493665807670e-01 4.844705171720963821e-01
2.500000000000000000e+00 5.182953254539532928e-01 9.836250024959356519e-01 4.815582889985329795e-01
5.000000000000000000e+00 5.101556001178669808e-01 9.860193239808726640e-01 4.799296308279026868e-01
1.000000000000000000e+01 5.036066903085958391e-01 9.886263008296664045e-01 4.778730784163982559e-01
1.500000000000000000e+01 5.009971109398344558e-01 9.897810684494194877e-01 4.770350540805994854e-01
