mc_steps  contiguity  d_eq_mean  d_eq_std
0.000000000000000000e+00 5.542979750987244714e-01 1.063776410753848545e+00 4.951787438826533716e-01
2.500000000000000000e-01 5.458974402061100850e-01 1.068757813488524500e+00 4.895401182703777443e-01
5.000000000000000000e-01 5.391076265825025526e-01 1.071299932461134086e+00 4.866755062985217428e-01
1.000000000000000000e+00 5.300535779850228391e-01 1.074353566878872623e+00 4.833723645729772755e-01
2.500000000000000000e+00 5.171406002893260689e-01 1.078762829916660948e+00 4.788120451680316636e-01
5.000000000000000000e+00 5.091241163604159903e-01 1.082396146394203562e+00 4.749271178857144560e-01
1.000000000000000000e+01 5.035664312153109723e-01 1.085246415807691767e+00 4.721125707640805302e-01
1.500000000000000000e+01 5.014957643503753504e-01 1.086630207575904894e+00 4.706838426187495150e-01
