0 102 211 
0 111 213 
1 104 215 
1 112 218 
2 161 221 
2 162 222 
3 49 230 
3 50 231 
49 65 364 
50 66 366 
65 79 407 
66 80 409 
79 92 443 
80 93 445 
92 103 476 
93 94 477 
94 104 479 
102 103 497 
111 120 515 
112 122 516 
120 121 539 
121 133 543 
122 134 545 
133 146 574 
134 147 576 
146 161 611 
147 162 613 
